District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,0,13781,0,13642,3,0,136,0
Ballari,2,39313,10,38645,71,0,597,0
Belagavi,13,26979,5,26530,107,0,342,0
Bengaluru Rural,12,18874,0,18627,86,0,161,0
Bengaluru Urban,389,408025,175,398540,4985,3,4499,1
Bidar,24,7646,11,7361,108,0,173,4
Chamarajanagara,3,6998,2,6845,22,0,120,11
Chikkaballapura,5,13794,7,13639,36,0,118,1
Chikkamagaluru,4,14043,2,13885,19,0,139,0
Chitradurga,1,14957,6,14818,70,0,69,0
Dakshina Kannada,16,34569,14,33604,225,0,738,2
Davanagere,2,22464,1,22169,31,0,264,0
Dharwada,16,22405,12,21730,56,0,619,0
Gadag,4,11032,2,10878,13,0,141,0
Hassana,3,28786,7,28305,84,0,397,0
Haveri,1,11025,0,10830,5,0,190,0
Kalaburagi,34,22161,15,21625,206,0,330,0
Kodagu,4,6187,4,6051,63,0,73,0
Kolara,6,10140,4,9927,36,0,177,0
Koppala,0,13948,0,13664,5,0,279,0
Mandya,3,19813,2,19639,22,0,152,0
Mysuru,11,54202,24,53028,140,0,1034,0
Raichuru,1,14318,1,14140,20,0,158,0
Ramanagara,0,7436,0,7351,8,0,77,0
Shivamogga,1,22512,4,22129,34,0,349,0
Tumakuru,25,25811,24,25233,186,0,392,0
Udupi,30,23717,3,23427,100,0,190,0
Uttara Kannada,5,14742,4,14520,44,0,178,0
Vijayapura,6,14600,11,14331,63,0,206,0
Yadagiri,1,10701,1,10626,14,0,61,0
Others*,0,36,0,33,0,0,3,0
