District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,0,13781,0,13642,3,0,136,0
Ballari,4,39317,11,38656,64,0,597,0
Belagavi,6,26985,8,26538,105,0,342,0
Bengaluru Rural,1,18875,9,18636,78,0,161,0
Bengaluru Urban,287,408312,268,398808,5000,4,4503,1
Bidar,7,7653,15,7376,100,0,173,4
Chamarajanagara,1,6999,2,6847,21,0,120,11
Chikkaballapura,4,13798,9,13648,31,0,118,1
Chikkamagaluru,1,14044,1,13886,19,0,139,0
Chitradurga,6,14963,4,14822,72,0,69,0
Dakshina Kannada,14,34583,20,33624,219,0,738,2
Davanagere,1,22465,5,22174,27,0,264,0
Dharwada,9,22414,6,21736,59,0,619,0
Gadag,5,11037,1,10879,17,0,141,0
Hassana,5,28791,8,28313,81,0,397,0
Haveri,0,11025,0,10830,5,0,190,0
Kalaburagi,22,22183,23,21648,205,0,330,0
Kodagu,2,6189,6,6057,59,0,73,0
Kolara,9,10149,6,9933,39,0,177,0
Koppala,1,13949,0,13664,6,0,279,0
Mandya,3,19816,2,19641,23,0,152,0
Mysuru,7,54209,13,53041,133,1,1035,0
Raichuru,1,14319,0,14140,21,0,158,0
Ramanagara,0,7436,0,7351,8,0,77,0
Shivamogga,3,22515,2,22131,35,0,349,0
Tumakuru,12,25823,27,25260,171,0,392,0
Udupi,18,23735,6,23433,112,0,190,0
Uttara Kannada,4,14746,16,14536,32,0,178,0
Vijayapura,3,14603,9,14340,57,0,206,0
Yadagiri,0,10701,1,10627,13,0,61,0
Others*,0,36,0,33,0,0,3,0
