District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,0,13752,0,13597,19,0,136,0
Ballari,6,39121,13,38443,81,0,597,0
Belagavi,18,26651,7,26115,194,0,342,0
Bengaluru Rural,9,18605,15,18323,126,0,156,0
Bengaluru Urban,306,397133,163,387763,4991,2,4378,1
Bidar,2,7371,8,7165,30,0,172,4
Chamarajanagara,2,6898,5,6748,20,0,119,11
Chikkaballapura,19,13509,15,13273,118,0,117,1
Chikkamagaluru,4,13902,11,13725,38,0,139,0
Chitradurga,7,14609,10,14370,170,0,69,0
Dakshina Kannada,42,33603,26,32584,280,1,737,2
Davanagere,10,22274,6,21931,79,0,264,0
Dharwada,7,22119,6,21442,66,0,611,0
Gadag,5,10976,3,10819,16,0,141,0
Hassana,15,28414,8,27932,88,0,394,0
Haveri,3,10996,0,10795,11,0,190,0
Kalaburagi,16,21520,13,20990,202,0,328,0
Kodagu,5,5946,7,5805,69,0,72,0
Kolara,1,9975,4,9732,66,0,177,0
Koppala,0,13924,2,13638,7,0,279,0
Mandya,5,19636,5,19435,51,0,150,0
Mysuru,27,53229,32,51974,232,1,1023,0
Raichuru,1,14256,3,14069,29,0,158,0
Ramanagara,0,7409,0,7322,10,0,77,0
Shivamogga,5,22307,9,21859,99,0,349,0
Tumakuru,31,25059,13,24430,244,0,385,0
Udupi,17,23271,4,23039,43,0,189,0
Uttara Kannada,8,14503,7,14248,77,0,178,0
Vijayapura,2,14394,6,14153,35,0,206,0
Yadagiri,0,10653,0,10573,19,0,61,0
Others*,0,36,0,33,0,0,3,0
